rank,stadium,capacity,region,country,city,images,home_team
1,Rungrado 1st of May Stadium,"114,000",East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/220px-Arirang_Mass_Games_12.JPG,"Korea DPR national football team, DPR Korea women's national football team, April 25"
2,Michigan Stadium,"107,601",North America,United States,"Ann Arbor, Michigan",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg/220px-Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg,Michigan Wolverines football
3,Ohio Stadium,"102,780",North America,United States,"Columbus, Ohio",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/220px-Panoramic_view_of_Ohio_Stadium.jpg,Ohio State Buckeyes football
4,Melbourne Cricket Ground,"100,024",Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/220px-MCG_Panorama_24_July_2015.jpg,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC"
5,Camp Nou,"99,354",Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Camp_Nou_-_FC_Barcelona_-_Barcelona.jpg/220px-Camp_Nou_-_FC_Barcelona_-_Barcelona.jpg,FC Barcelona
6,New Administrative Capital Stadium,"94,940",Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/220px-The_New_administrative_stadium_of_Egypt.jpg,"Egypt national football team, Al Ahly SC"
7,FNB Stadium,"94,736",Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/220px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"South Africa national football team, Kaizer Chiefs F.C."
8,Rose Bowl Stadium,"92,800",North America,United States,"Pasadena, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/220px-Rose_Bowl%2C_panorama.jpg,UCLA Bruins
9,Sanford Stadium,"92,746",North America,United States,"Athens, Georgia",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/UGA_vs._Notre_Dame_2019.jpg/220px-UGA_vs._Notre_Dame_2019.jpg,Georgia Bulldogs football
10,Cotton Bowl Stadium,"92,100",North America,United States,"Dallas, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/220px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,
11,Beijing National Stadium,"91,000",East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Beijing_National_Stadium_2014_2.jpg/220px-Beijing_National_Stadium_2014_2.jpg,
12,Wembley Stadium,"90,000",Europe,England,"London, England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/220px-Post_L2_Play-Off_Final.jpg,England national football team
13,Lusail Stadium,"88,966",West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/220px-Lusail_Stadium.jpg,Qatar national football team
14,Estadio Azteca,"87,523",North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/220px-Panor%C3%A1mica_esquina_noreste.jpg,"Club América, Cruz Azul, Mexico national football team"
15,Bukit Jalil National Stadium,"87,411",Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/220px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,"Malaysia national football team,"
16,Borg el-Arab Stadium,"86,000",Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/220px-Borg_el_arab_stadium.jpg,"Egypt national football team, Al Ittihad, Smouha"
17,Salt Lake Stadium,"85,000",South Asia,India,Kolkata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg/220px-Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"India national football team, ATK Mohun Bagan, East Bengal, Mohammedan"
18,Estadio Mâs Monumental,"84,567",South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Estadio_M%C3%A2s_Monumental.jpg/220px-Estadio_M%C3%A2s_Monumental.jpg,"Argentina national football team, River Plate"
19,Stadium Australia,"83,500",Oceania,Australia,"Sydney, New South Wales",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/State_of_Origin_Game_II_2018.jpg/220px-State_of_Origin_Game_II_2018.jpg,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team"
